Experiment,rev,typ,Created,parent,sharpe_ratio,stdev,general.timeframe,general.asset,general.tfmin,general.performance_stat,general.datapath,strategy.param.path,wf.param.path,wf.train_length,wf.test_length,master\data-raw\train_300klines.csv,master\data-wip\01_converted_to_xts.rds,master\data-wip\1\10\02_downsampled.rds,master\data-wip\1\10\03_precalculated.rds,master\data-wip\1\10\04_positions.rds,master\data-wip\1\10\05_pnl.rds,master\data-wip\1\10\06_wf_indexes.rds,master\data-wip\1\10\07_wf_metrics.rds,master\data-wip\1\10\08_wf_best_params.rds,master\data-wip\1\1\02_downsampled.rds,master\data-wip\1\1\03_precalculated.rds,master\data-wip\1\1\04_positions.rds,master\data-wip\1\1\05_pnl.rds,master\data-wip\1\1\06_wf_indexes.rds,master\data-wip\1\1\07_wf_metrics.rds,master\data-wip\1\1\08_wf_best_params.rds,master\data-wip\1\5\02_downsampled.rds,master\data-wip\1\5\03_precalculated.rds,master\data-wip\1\5\04_positions.rds,master\data-wip\1\5\05_pnl.rds,master\data-wip\1\5\06_wf_indexes.rds,master\data-wip\1\5\07_wf_metrics.rds,master\data-wip\1\5\08_wf_best_params.rds,master\rcode\01_convert_to_xts.R,master\rcode\06_wf_calculate_indexes.R,master\rcode\07_wf_calculate_metrics.r,master\rcode\08_wf_select_best_params.r,master\rcode\09_wf_eval_test.R,master\rcode\logic\WfHelper.r,master\rcode\logic\strategy.r,master\rcode\logic\strategy_param.yaml

,workspace,baseline,,,2.7366419,0.0019543,"[1, 10, 15]",1,1,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,1,1,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,82376e9058a716b04bcbaea69c591b8f,d16b177364a71860c7b7c2c870343642,b87402d83af266b640da0988c966f13b,63b8f5c04bd003ad074836b1e38e0d9f,04dd7db31aeab6799e9db1f78c8eb853,cbe9b5f74f552253c034517d1d2e165a,de5b47e7fc86cca259f6126aa9d39c42,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

,main,baseline,2023-09-29T21:14:04,,0.0742184,0.0020279,"[1, 10, 15]",1,1,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,,,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,82376e9058a716b04bcbaea69c591b8f,d16b177364a71860c7b7c2c870343642,b87402d83af266b640da0988c966f13b,63b8f5c04bd003ad074836b1e38e0d9f,2805fa4626c8292f36471ff6c10f51c3,f84d2c4fe96da596bab497fd72d40ac1,73fabada3b669b4f26354466082d5d9f,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,b9206f7f6cf05058d4a9f0ca78a5dbf5,ce33e41f70410920f873ecb49c07225f,8eaeb8831385d4c13ab4ba2a045cc3b8,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

direr-divs,ff3d67f,branch_commit,2023-09-30T10:55:52,,0.3023938,0.0079562,"[1, 10, 15]",1,10,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,5,3,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,ac45596096649ddfc285e3898e139b90,4ba14704be4f682055e4b037b17b550f,c8334d613de86485ac0c0fd414b805f9,30a293dd56fc1f5fb5e9c9567ea88a7e,ec323792a6d4dd6562196738db2098b3,0b6ef8ab6460cae52648468ee85917f4,36fcca12f7a30940c568cf5f6e064b0a,,,,,,,,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

myoid-razz,4e1573f,branch_commit,2023-09-30T10:55:36,,-4.9757401,0.0053912,"[1, 10, 15]",1,5,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,5,3,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,,,,,,,,1c6b83827fba420ffc771d3eb9158906,6e391f87139f95a3f1ebdebf00b204c4,9c4d5aa2cfba6dc5f336977399de4897,e4f8ef9fb24f3397c9e205c5a3bbd276,04952f2c71afd0c87d05faf33b75f734,7e603caed7f0e08671767c47770537c3,a1a1e839ebf4c49111241b2b957625d3,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

pursy-byes,8041c22,branch_commit,2023-09-30T10:55:20,,3.1985538,0.0020609,"[1, 10, 15]",1,1,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,5,3,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,82376e9058a716b04bcbaea69c591b8f,d16b177364a71860c7b7c2c870343642,b87402d83af266b640da0988c966f13b,63b8f5c04bd003ad074836b1e38e0d9f,2b72cc8daa254a745b772af56fdaa501,bd845bb7ea874384a9e76bd6a761f04f,94af00d07fa07d3d68372e149e5fe716,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

stoic-hips,81d85c7,branch_commit,2023-09-30T10:55:09,,-4.0831981,0.0077301,"[1, 10, 15]",1,10,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,5,2,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,ac45596096649ddfc285e3898e139b90,4ba14704be4f682055e4b037b17b550f,c8334d613de86485ac0c0fd414b805f9,30a293dd56fc1f5fb5e9c9567ea88a7e,8a897562963bf0af24675cb9306e805b,7817c4479abbf6626b9aa99195c5c9ee,871aaa72ce2e22439a6efe78efa66d60,,,,,,,,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

sable-nark,a010867,branch_commit,2023-09-30T10:54:53,,-2.7284421,0.0052408,"[1, 10, 15]",1,5,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,5,2,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,,,,,,,,1c6b83827fba420ffc771d3eb9158906,6e391f87139f95a3f1ebdebf00b204c4,9c4d5aa2cfba6dc5f336977399de4897,e4f8ef9fb24f3397c9e205c5a3bbd276,a0a5c41094c047ad298e4c30be2dec16,22ceff607e4b92fbc5d4a90a220df99f,72a30fd38cde871080558b273c7f86a6,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

pawky-rugs,2a52007,branch_commit,2023-09-30T10:54:36,,-3.0254265,0.0020797,"[1, 10, 15]",1,1,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,5,2,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,82376e9058a716b04bcbaea69c591b8f,d16b177364a71860c7b7c2c870343642,b87402d83af266b640da0988c966f13b,63b8f5c04bd003ad074836b1e38e0d9f,315f77cd5f90bc5fa1280c7bdb90b5b7,870561b800815cbb39d79ede1fb1a186,c665fb7c616de859524676b48a51764d,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

typed-gigs,da67a12,branch_commit,2023-09-30T10:54:27,,-3.5743111,0.0077294,"[1, 10, 15]",1,10,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,5,1,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,ac45596096649ddfc285e3898e139b90,4ba14704be4f682055e4b037b17b550f,c8334d613de86485ac0c0fd414b805f9,30a293dd56fc1f5fb5e9c9567ea88a7e,3e982483ecedd81c7024ed6441cf641e,c389c0d81e24113d6313555d73c9d7fd,3d10fd59d11df04c145f68ed4a34f52e,,,,,,,,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

eager-airt,e5890b4,branch_commit,2023-09-30T10:54:11,,-5.9682386,0.0052452,"[1, 10, 15]",1,5,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,5,1,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,,,,,,,,1c6b83827fba420ffc771d3eb9158906,6e391f87139f95a3f1ebdebf00b204c4,9c4d5aa2cfba6dc5f336977399de4897,e4f8ef9fb24f3397c9e205c5a3bbd276,67cee61f19b251ac7c5e6345a32b75c4,1377b47805c9fa49a5d980bf7d368d35,d786dff181c743375a88052268f2efc8,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

newsy-loup,0284203,branch_commit,2023-09-30T10:53:52,,-0.7719602,0.0020619,"[1, 10, 15]",1,1,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,5,1,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,82376e9058a716b04bcbaea69c591b8f,d16b177364a71860c7b7c2c870343642,b87402d83af266b640da0988c966f13b,63b8f5c04bd003ad074836b1e38e0d9f,42863f697b57f877296f6bb25db5cc0f,8b278a42784c25c592c08295b76dd193,1b2b1e6508b686d81b8f653bab03ddb6,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

riven-weep,01bb4ee,branch_commit,2023-09-30T10:53:41,,-3.0522751,0.0075786,"[1, 10, 15]",1,10,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,4,3,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,ac45596096649ddfc285e3898e139b90,4ba14704be4f682055e4b037b17b550f,c8334d613de86485ac0c0fd414b805f9,30a293dd56fc1f5fb5e9c9567ea88a7e,21b00ba6dbcc9b964382a5d7b7dd7932,2f6c1d48f915673c3929808b312ab1c7,38eb48ab22888b78549f8e25d7dc5960,,,,,,,,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

abuzz-jump,52e47be,branch_commit,2023-09-30T10:53:25,,-6.5510755,0.0051548,"[1, 10, 15]",1,5,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,4,3,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,,,,,,,,1c6b83827fba420ffc771d3eb9158906,6e391f87139f95a3f1ebdebf00b204c4,9c4d5aa2cfba6dc5f336977399de4897,e4f8ef9fb24f3397c9e205c5a3bbd276,2d1bb7f196408006779c5883c97aee21,ae28737704ebe6dbfd0bd0510de0d69c,77e05954dc4cb155cdc142aa715f2b2d,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

strip-foil,fccc484,branch_commit,2023-09-30T10:53:09,,1.0942734,0.0020478,"[1, 10, 15]",1,1,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,4,3,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,82376e9058a716b04bcbaea69c591b8f,d16b177364a71860c7b7c2c870343642,b87402d83af266b640da0988c966f13b,63b8f5c04bd003ad074836b1e38e0d9f,9b411e364d4d18cf7e3a60bfe231e4d3,155f58687acebac923cced714e960609,1ca0c1e030ce1ad8829e3fffc390fa43,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

angry-waws,76a1016,branch_commit,2023-09-30T10:52:58,,-0.9547837,0.0076676,"[1, 10, 15]",1,10,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,4,2,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,ac45596096649ddfc285e3898e139b90,4ba14704be4f682055e4b037b17b550f,c8334d613de86485ac0c0fd414b805f9,30a293dd56fc1f5fb5e9c9567ea88a7e,e11d837963db43f6fa715c15c44ab407,c506a72df5ca2958690be047f1b60e50,53dfe8b4e2b83baf93e73c6da734cd9b,,,,,,,,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

rusty-rime,842acbf,branch_commit,2023-09-30T10:52:42,,-5.1645329,0.0051992,"[1, 10, 15]",1,5,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,4,2,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,,,,,,,,1c6b83827fba420ffc771d3eb9158906,6e391f87139f95a3f1ebdebf00b204c4,9c4d5aa2cfba6dc5f336977399de4897,e4f8ef9fb24f3397c9e205c5a3bbd276,c9bce3366ebcc3049018449675fb987d,dc1548365bc54d500bfd104871428f5e,8ea0afd9c99b5552277151c9d69b351c,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

flown-prow,7f8d1d2,branch_commit,2023-09-30T10:52:25,,0.0742184,0.0020279,"[1, 10, 15]",1,1,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,4,2,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,82376e9058a716b04bcbaea69c591b8f,d16b177364a71860c7b7c2c870343642,b87402d83af266b640da0988c966f13b,63b8f5c04bd003ad074836b1e38e0d9f,2805fa4626c8292f36471ff6c10f51c3,f84d2c4fe96da596bab497fd72d40ac1,73fabada3b669b4f26354466082d5d9f,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

shore-prow,6b023fb,branch_commit,2023-09-30T10:52:16,,-2.1409782,0.0075709,"[1, 10, 15]",1,10,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,4,1,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,ac45596096649ddfc285e3898e139b90,4ba14704be4f682055e4b037b17b550f,c8334d613de86485ac0c0fd414b805f9,30a293dd56fc1f5fb5e9c9567ea88a7e,6c324516149a12cf394b27e3f3390af7,cdfdde63f148470110ffce95ec6aa01d,38c22fff894f98324734dad6b4e09702,,,,,,,,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

