Experiment,rev,typ,Created,parent,State,sharpe_ratio,stdev,general.timeframe,general.asset,general.tfmin,general.performance_stat,general.datapath,general.raw_data,strategy.param.path,wf.param.path,wf.train_length,wf.test_length,master\data-raw\train_3mln.csv,master\data-wip\01_converted_to_xts.rds,master\data-wip\1\10\02_downsampled.rds,master\data-wip\1\10\03_precalculated.rds,master\data-wip\1\10\04_positions.rds,master\data-wip\1\10\05_pnl.rds,master\data-wip\1\10\06_wf_indexes.rds,master\data-wip\1\10\07_wf_metrics.rds,master\data-wip\1\10\08_wf_best_params.rds,master\data-wip\1\15\02_downsampled.rds,master\data-wip\1\15\03_precalculated.rds,master\data-wip\1\15\04_positions.rds,master\data-wip\1\15\05_pnl.rds,master\data-wip\1\15\06_wf_indexes.rds,master\data-wip\1\15\07_wf_metrics.rds,master\data-wip\1\15\08_wf_best_params.rds,master\data-wip\1\1\02_downsampled.rds,master\data-wip\1\1\03_precalculated.rds,master\data-wip\1\1\04_positions.rds,master\data-wip\1\1\05_pnl.rds,master\data-wip\1\1\06_wf_indexes.rds,master\data-wip\1\1\07_wf_metrics.rds,master\data-wip\1\1\08_wf_best_params.rds,master\data-wip\1\30\02_downsampled.rds,master\data-wip\1\30\03_precalculated.rds,master\data-wip\1\30\04_positions.rds,master\data-wip\1\30\05_pnl.rds,master\data-wip\1\30\06_wf_indexes.rds,master\data-wip\1\30\07_wf_metrics.rds,master\data-wip\1\30\08_wf_best_params.rds,master\data-wip\1\5\02_downsampled.rds,master\data-wip\1\5\03_precalculated.rds,master\data-wip\1\5\04_positions.rds,master\data-wip\1\5\05_pnl.rds,master\data-wip\1\5\06_wf_indexes.rds,master\data-wip\1\5\07_wf_metrics.rds,master\data-wip\1\5\08_wf_best_params.rds,master\data-wip\1\60\02_downsampled.rds,master\data-wip\1\60\03_precalculated.rds,master\data-wip\1\60\04_positions.rds,master\data-wip\1\60\05_pnl.rds,master\data-wip\1\60\06_wf_indexes.rds,master\data-wip\1\60\07_wf_metrics.rds,master\data-wip\1\60\08_wf_best_params.rds,master\rcode\01_convert_to_xts.R,master\rcode\06_wf_calculate_indexes.R,master\rcode\07_wf_calculate_metrics.r,master\rcode\08_wf_select_best_params.r,master\rcode\09_wf_eval_test.R,master\rcode\logic\WfHelper.r,master\rcode\logic\strategy.r,master\rcode\logic\strategy_param.yaml

,workspace,baseline,,,,-4.7447296,0.0023637,"[1, 10, 15]",1,5,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,1,1,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

,main,baseline,2023-10-11T16:02:49,,,-1.6011318,0.0047756,"[1, 10, 15]",1,5,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,1,1,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

macro-amyl,da3171c,branch_commit,2023-10-11T19:11:07,,,0.9687306,0.0077507,"[1, 10, 15]",1,60,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,21,14,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,064ab626e6234e8fb7b87afe0b2ec362,1b1b9f4a276bb5a02736a76dd6202141,f9e69d00d7cb1b8d3823ffc540f08c44,556cbf2e9e717766370cac0570539eeb,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

purer-shad,5cf4106,branch_commit,2023-10-11T19:10:47,,,1.3117623,0.0077228,"[1, 10, 15]",1,60,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,21,10,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,064ab626e6234e8fb7b87afe0b2ec362,09d9448d8f6b9068c50fd64f39643515,761c1d473475cc961af1324d3470c00c,53becd5feb30cd143c429acdfcd7df0b,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

civil-muss,58918ed,branch_commit,2023-10-11T19:10:26,,,0.8634216,0.0077486,"[1, 10, 15]",1,60,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,21,7,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,064ab626e6234e8fb7b87afe0b2ec362,3ec5b3d5616c1e3ab56d0f6a2745964e,c2cace2e4ea7fb8d0e4fb9be6839526c,c4c070b3dcface7ab8bef4f3f166714e,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

waspy-ceps,b8c35a2,branch_commit,2023-10-11T19:09:54,,,0.7036904,0.0077141,"[1, 10, 15]",1,60,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,21,5,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,064ab626e6234e8fb7b87afe0b2ec362,24f299f201a06b662701ca85ab002b90,eed56a34dc1930c229c7e74bca81b269,ad42562b51940afb044edcb4739f95cb,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

frore-work,a32a836,branch_commit,2023-10-11T19:09:31,,,0.8037271,0.0076983,"[1, 10, 15]",1,60,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,21,3,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,064ab626e6234e8fb7b87afe0b2ec362,7c07334c9291964c6ff6359f93c37b99,9c7751894a0c2253738dbe00b550b60a,23cb76f3f98a602b973be36aebd19347,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

known-goos,2f07c3f,branch_commit,2023-10-11T19:09:11,,,0.153489,0.0077158,"[1, 10, 15]",1,60,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,21,2,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,064ab626e6234e8fb7b87afe0b2ec362,185e9841598ee90b79b72da8a7157d12,7c5e44fed833af8026c8ca716c2500c1,6f1fa39df499c0ff04b1f6e7b1bcdff4,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

socko-rams,e098e6f,branch_commit,2023-10-11T19:08:50,,,0.7277939,0.0076998,"[1, 10, 15]",1,60,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,21,1,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,064ab626e6234e8fb7b87afe0b2ec362,3f1c44cc558d00e9a51b5c0784b22fb9,55e8871239c0b1e80a8e137b171e06f7,c9db3f05790188fa8aef765f0c326075,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

laced-curb,c67a84d,branch_commit,2023-10-11T19:08:30,,,1.4662147,0.0083312,"[1, 10, 15]",1,60,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,14,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,064ab626e6234e8fb7b87afe0b2ec362,a8d626f576593c66aeea5cf5e0a56a81,8cbc030a2e56daef53c6f1434d21afe4,6866ab24830260843575e3d87deded2d,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

nasty-bond,f5ec796,branch_commit,2023-10-11T19:08:11,,,1.4298615,0.0082888,"[1, 10, 15]",1,60,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,10,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,064ab626e6234e8fb7b87afe0b2ec362,5ad4b8d25fea8920484ea734a55e741d,87d509a4d4e79ef97fba6652b3b024bb,bcd7872f4fab504d41390716b7cae7a1,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

liked-tule,675542e,branch_commit,2023-10-11T19:07:52,,,1.3720307,0.0082032,"[1, 10, 15]",1,60,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,7,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,064ab626e6234e8fb7b87afe0b2ec362,94875091807adecd7f6158504f23e45f,5781eb327de1bc027766dfc616f8dc64,8eff266af09a0f2e04fb7995e53c6dc3,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

jazzy-beak,26ffdb4,branch_commit,2023-10-11T19:07:30,,,1.2684178,0.0082061,"[1, 10, 15]",1,60,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,5,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,064ab626e6234e8fb7b87afe0b2ec362,3cfdb2a4b7eec801d68bfe29c8d9abca,8d995f14060c1c2307dfb71f328de189,cfcd58b100842ef4ac4c2a31b4f4e774,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

