Experiment,rev,typ,Created,parent,sharpe_ratio,stdev,ir2,sortino_ratio,start,end,sharpe_ratio_full,stdev_full,ir2_full,sortino_ratio_full,start_full,end_full,general.asset,general.tfmin,general.performance_stat,general.datapath,general.raw_data,strategy.param.path,wf.param.path,wf.train_length,wf.test_length,wf.day_clip_front,wf.day_clip_back,master\data-raw\data_test_20180101_20190630.csv,master\data-wip\01_converted_to_xts.rds,master\data-wip\1\60\02_downsampled.rds,master\data-wip\1\60\03_precalculated.rds,master\data-wip\1\60\04_positions.rds,master\data-wip\1\60\05_pnl.rds,master\data-wip\1\60\06_wf_indexes.rds,master\data-wip\1\60\07_wf_metrics.rds,master\data-wip\1\60\08_wf_best_params.rds,master\rcode\01_convert_to_xts.r,master\rcode\05_calculate_pnl.r,master\rcode\06_wf_calculate_indexes.r,master\rcode\07_wf_calculate_metrics.r,master\rcode\08_wf_select_best_params.r,master\rcode\09_wf_eval_test.r,master\rcode\logic\WfHelper.r,master\rcode\logic\WfHelper.yaml,master\rcode\logic\helpers\data_helper.r,master\rcode\logic\helpers\metrics_helper.r,master\rcode\logic\strategy.r,master\rcode\logic\strategy_param.yaml

,workspace,baseline,,,0.8368425,0.0077472,1.2114507,1.1937264,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.5708563,0.0084134,0.6367312,0.8048618,start 2018-01-19 07:59:00,end 2019-06-07 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,28,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,1a079d50f9a5a639a7683c232f3c6fa1,c5b79717ff1d1bef8857a6083c446783,efb635a65e2d1bde1f367dc3b36ed625,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

,data_1.5_year,baseline,2023-12-12T21:52:56,,0.8368425,0.0077472,1.2114507,1.1937264,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.5708563,0.0084134,0.6367312,0.8048618,start 2018-01-19 07:59:00,end 2019-06-07 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,28,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,1a079d50f9a5a639a7683c232f3c6fa1,c5b79717ff1d1bef8857a6083c446783,efb635a65e2d1bde1f367dc3b36ed625,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

frail-whit,0e8d4df,branch_commit,2023-12-12T23:06:18,,0.7720103,0.0077483,0.9728093,1.1017843,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.7592395,0.0078879,0.9427844,1.0731959,start 2018-02-06 07:59:00,end 2019-06-25 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,28,28,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,6b385e42971e71d9179aa7fe14b0434c,395c8817a375df5dfe9fa85cc36e4b83,00ad9f9c7f0038c3a9b7bd82528ff8b0,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

busty-esne,2207dbc,branch_commit,2023-12-12T23:05:41,,0.7562639,0.0077491,0.9307256,1.0791539,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.7078513,0.0078889,0.8195919,1.0005789,start 2018-02-06 07:59:00,end 2019-06-25 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,28,21,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,52ca3c6e6cdd4d6bd32ba7116902c4a0,8891187f806a3830dc7f09c6d1e7818e,09757401573bfa9fee297538aaab2bef,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

above-eyry,b20a7a3,branch_commit,2023-12-12T23:05:05,,1.2039651,0.0077461,2.2901377,1.7389528,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.1237877,0.0078862,2.065047,1.6057987,start 2018-02-06 07:59:00,end 2019-06-25 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,28,14,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,16b9e687d02aaae9d337be10d4e98b2e,501a55cfde492158c87651bf2b90a2fe,ebfb0552836d0dc0be6b5d414c20a0fd,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
