"","Experiment","rev","typ","Created","State","general.asset","general.tfmin","wf.train_length","wf.test_length","sharpe_ratio","general.performance_stat"
"2","mealy-cart","5eabb1e","branch_commit","2023-10-12T09:59:03","",1,30,5,21,-0.3743501,"calc_sharpe"
"3","wrath-gape","353050f","branch_commit","2023-10-12T09:58:45","",1,30,5,7,-0.3476784,"calc_sharpe"
"4","store-diva","1579477","branch_commit","2023-10-12T09:58:26","",1,30,5,5,-0.6180247,"calc_sharpe"
"5","pursy-tiff","e64697c","branch_commit","2023-10-12T09:58:08","",1,30,5,3,-0.5763744,"calc_sharpe"
"6","tenth-goad","b6e3ce5","branch_commit","2023-10-12T09:57:48","",1,30,5,2,-0.5925296,"calc_sharpe"
"7","plump-lava","1362e3f","branch_commit","2023-10-12T09:57:28","",1,30,5,1,-0.5292676,"calc_sharpe"
"8","forte-sign","1cdaf4c","branch_commit","2023-10-12T09:57:05","",1,30,3,21,-0.8077668,"calc_sharpe"
"9","frank-quay","0b175d5","branch_commit","2023-10-12T09:56:46","",1,30,3,7,-1.1209644,"calc_sharpe"
"10","matte-snot","194cda2","branch_commit","2023-10-12T09:56:27","",1,30,3,5,-0.2033185,"calc_sharpe"
"11","medal-tugs","dc6f1fd","branch_commit","2023-10-12T09:56:07","",1,30,3,3,-0.9865681,"calc_sharpe"
"12","blunt-drum","15352c9","branch_commit","2023-10-12T09:55:49","",1,30,3,2,-0.6192379,"calc_sharpe"
"13","rabid-eyas","4f3e71a","branch_commit","2023-10-12T09:55:30","",1,30,3,1,-0.8906253,"calc_sharpe"
"14","sneak-hajj","f46d3bb","branch_commit","2023-10-12T09:55:10","",1,30,2,21,-2.1529003,"calc_sharpe"
"15","newsy-gimp","406725f","branch_commit","2023-10-12T09:54:53","",1,30,2,7,-1.5260001,"calc_sharpe"
"16","ridgy-fool","362cfb4","branch_commit","2023-10-12T09:54:35","",1,30,2,5,-0.5651279,"calc_sharpe"
"17","osmic-cane","6d3e5b0","branch_commit","2023-10-12T09:54:16","",1,30,2,3,-1.2985495,"calc_sharpe"
"18","wired-banc","812c083","branch_commit","2023-10-12T09:53:56","",1,30,2,2,-0.4483697,"calc_sharpe"
"19","surer-ring","85853ca","branch_commit","2023-10-12T09:53:36","",1,30,2,1,-1.0051196,"calc_sharpe"
"20","zesty-goos","3a32914","branch_commit","2023-10-12T09:53:13","",1,30,1,21,-1.8531835,"calc_sharpe"
"21","quasi-pail","593255a","branch_commit","2023-10-12T09:52:56","",1,30,1,7,-1.4848489,"calc_sharpe"
"22","erect-axon","935f1dc","branch_commit","2023-10-12T09:52:39","",1,30,1,5,-1.2330717,"calc_sharpe"
"23","regal-glen","bb7e21f","branch_commit","2023-10-12T09:52:21","",1,30,1,3,-1.3533052,"calc_sharpe"
"24","leary-rubs","0ac3e42","branch_commit","2023-10-12T09:52:02","",1,30,1,2,-1.3367223,"calc_sharpe"
"25","slier-cool","29f1dfc","branch_commit","2023-10-12T09:51:41","",1,30,1,1,-0.9624431,"calc_sharpe"
"26","enate-ions","dce99b5","branch_commit","2023-10-12T09:51:18","",1,15,5,21,-0.7506268,"calc_sharpe"
"27","dowie-yell","2571385","branch_commit","2023-10-12T09:51:01","",1,15,5,7,-1.4950818,"calc_sharpe"
"28","girly-pots","b1ced7a","branch_commit","2023-10-12T09:50:42","",1,15,5,5,-0.6525218,"calc_sharpe"
"29","winey-byte","c85172c","branch_commit","2023-10-12T09:50:23","",1,15,5,3,-0.1033191,"calc_sharpe"
"30","fishy-raps","d88e2c3","branch_commit","2023-10-12T09:50:02","",1,15,5,2,-0.7647292,"calc_sharpe"
"31","fated-bree","8cf15a9","branch_commit","2023-10-12T09:49:53","",1,15,5,1,-0.6983374,"calc_sharpe"
"32","fluky-amie","378bbb3","branch_commit","2023-10-12T09:49:41","",1,15,3,21,-1.0983546,"calc_sharpe"
"33","huger-send","40a89a7","branch_commit","2023-10-12T09:49:22","",1,15,3,7,-1.401091,"calc_sharpe"
"34","vatic-lack","fe72b63","branch_commit","2023-10-12T09:49:02","",1,15,3,5,-1.0493505,"calc_sharpe"
"35","spumy-moxa","15720b3","branch_commit","2023-10-12T09:48:43","",1,15,3,3,-0.8122298,"calc_sharpe"
"36","moire-tort","937e7d7","branch_commit","2023-10-12T09:48:21","",1,15,3,2,-1.0688279,"calc_sharpe"
"37","lushy-leaf","c29e98e","branch_commit","2023-10-12T09:48:10","",1,15,3,1,-2.2399444,"calc_sharpe"
"38","molar-code","5270e29","branch_commit","2023-10-12T09:48:00","",1,15,2,21,-0.9919964,"calc_sharpe"
"39","ashen-veer","d26677f","branch_commit","2023-10-12T09:47:42","",1,15,2,7,-1.2431016,"calc_sharpe"
"40","waney-bish","9ceeac2","branch_commit","2023-10-12T09:47:25","",1,15,2,5,-0.6794971,"calc_sharpe"
"41","ocher-leak","683ccab","branch_commit","2023-10-12T09:47:07","",1,15,2,3,-1.8808234,"calc_sharpe"
"42","gamer-keep","c000beb","branch_commit","2023-10-12T09:46:49","",1,15,2,2,-2.6566235,"calc_sharpe"
"43","tined-dunt","e8265c9","branch_commit","2023-10-12T09:46:29","",1,15,2,1,-2.7202687,"calc_sharpe"
"44","yucky-wins","aaf9a04","branch_commit","2023-10-12T09:46:03","",1,15,1,21,-0.5220969,"calc_sharpe"
"45","crack-vows","87e9470","branch_commit","2023-10-12T09:45:38","",1,15,1,7,-0.5416668,"calc_sharpe"
"46","dicey-sail","722f72f","branch_commit","2023-10-12T09:45:14","",1,15,1,5,0.0666826,"calc_sharpe"
"47","dowie-dops","5b1a490","branch_commit","2023-10-12T09:44:46","",1,15,1,3,-1.6327949,"calc_sharpe"
"48","minim-soft","077632c","branch_commit","2023-10-12T09:44:16","",1,15,1,2,-2.4171658,"calc_sharpe"
"49","agile-friz","55ffd4f","branch_commit","2023-10-12T09:44:03","",1,15,1,1,-1.9158437,"calc_sharpe"
"50","erect-tart","bdd05e6","branch_commit","2023-10-11T19:01:13","",1,30,21,14,-0.4162895,"calc_sharpe"
"51","slier-bias","e460262","branch_commit","2023-10-11T19:00:54","",1,30,21,10,-0.1218414,"calc_sharpe"
"52","modal-acre","e4a7fc1","branch_commit","2023-10-11T19:00:33","",1,30,21,7,-0.2247426,"calc_sharpe"
"53","lento-peel","bfe32cd","branch_commit","2023-10-11T19:00:11","",1,30,21,5,0.2235553,"calc_sharpe"
"54","gummy-sack","b1ef0f1","branch_commit","2023-10-11T18:59:50","",1,30,21,3,-0.4535323,"calc_sharpe"
"55","quiet-gram","284cac8","branch_commit","2023-10-11T18:59:25","",1,30,21,2,-0.2812994,"calc_sharpe"
"56","piano-tart","9f82625","branch_commit","2023-10-11T18:58:58","",1,30,21,1,-0.0977514,"calc_sharpe"
"57","barer-raps","de9a949","branch_commit","2023-10-11T18:58:28","",1,30,14,14,0.6509951,"calc_sharpe"
"58","non-U-lama","8346545","branch_commit","2023-10-11T18:58:04","",1,30,14,10,-0.6478548,"calc_sharpe"
"59","outer-beth","e6b9c2d","branch_commit","2023-10-11T18:57:39","",1,30,14,7,0.3945058,"calc_sharpe"
"60","crisp-scup","5235fb9","branch_commit","2023-10-11T18:57:16","",1,30,14,5,-0.2745764,"calc_sharpe"
"61","godly-rort","33f6d10","branch_commit","2023-10-11T18:56:51","",1,30,14,3,0.1249393,"calc_sharpe"
"62","ethic-tors","5992aa7","branch_commit","2023-10-11T18:56:28","",1,30,14,2,0.1710174,"calc_sharpe"
"63","beery-hock","0d02c1f","branch_commit","2023-10-11T18:55:59","",1,30,14,1,-0.0120199,"calc_sharpe"
"64","hunky-dirk","a61cb83","branch_commit","2023-10-11T18:55:30","",1,30,10,14,0.332398,"calc_sharpe"
"65","crumb-tugs","f4ce415","branch_commit","2023-10-11T18:55:07","",1,30,10,10,0.6590435,"calc_sharpe"
"66","loath-hips","6708f47","branch_commit","2023-10-11T18:54:43","",1,30,10,7,0.5440535,"calc_sharpe"
"67","fined-jato","4be2d3e","branch_commit","2023-10-11T18:54:18","",1,30,10,5,0.7371766,"calc_sharpe"
"68","waxen-dabs","c471272","branch_commit","2023-10-11T18:53:50","",1,30,10,3,-0.008767,"calc_sharpe"
"69","murky-hugs","1e432b1","branch_commit","2023-10-11T18:53:26","",1,30,10,2,-0.944567,"calc_sharpe"
"70","hefty-gust","4bca951","branch_commit","2023-10-11T18:53:00","",1,30,10,1,-0.5834448,"calc_sharpe"
"71","awing-vang","d2dfcc1","branch_commit","2023-10-11T18:52:33","",1,30,7,14,-0.2532096,"calc_sharpe"
"72","bifid-tiff","2e4c834","branch_commit","2023-10-11T18:52:12","",1,30,7,10,0.2831889,"calc_sharpe"
"73","tawie-life","4344030","branch_commit","2023-10-11T18:51:51","",1,30,7,7,-0.4040071,"calc_sharpe"
"74","balky-jynx","07fa9c6","branch_commit","2023-10-11T18:51:28","",1,30,7,5,-0.4519697,"calc_sharpe"
"75","kraal-heck","8e2fc76","branch_commit","2023-10-11T18:51:04","",1,30,7,3,-0.4636238,"calc_sharpe"
"76","noble-maul","faee6a3","branch_commit","2023-10-11T18:50:42","",1,30,7,2,-1.0992291,"calc_sharpe"
"77","itchy-airs","74a21b4","branch_commit","2023-10-11T18:50:15","",1,30,7,1,-0.2552335,"calc_sharpe"
"78","crude-vela","d6cbef3","branch_commit","2023-10-11T17:53:09","",1,15,21,14,-1.0294379,"calc_sharpe"
"79","sooth-clip","4c8e318","branch_commit","2023-10-11T17:52:50","",1,15,21,10,-0.6119106,"calc_sharpe"
"80","boned-mats","c44a20d","branch_commit","2023-10-11T17:52:30","",1,15,21,7,-0.7792038,"calc_sharpe"
"81","leady-saga","87cf304","branch_commit","2023-10-11T17:52:10","",1,15,21,5,-0.9922165,"calc_sharpe"
"82","techy-gust","7ff9611","branch_commit","2023-10-11T17:51:46","",1,15,21,3,-0.6655349,"calc_sharpe"
"83","tutti-plow","3f7c837","branch_commit","2023-10-11T17:51:21","",1,15,21,2,-1.0300955,"calc_sharpe"
